;id;rel
1;160646;ev
2;160527;ev
3;160551;ev
4;141383;ev
5;74833;ev
6;160512;ev
7;73701;ev
8;160589;ev
9;74163;ev
10;74171;ev
11;141408;ev
12;73447;ev
13;160578;ev
14;74173;ev
15;99654;ev
16;160676;ev
17;160677;ev
18;141441;ev
19;74273;ev
20;160531;ev
21;74366;ev
22;73535;ev
23;74351;ev
24;151208;ev
25;141482;ev
26;74585;ev
27;141483;ev
28;73483;ev
29;160660;ev
30;150418;ev
31;167722;ev
32;178827;ev
33;160561;ev
34;74359;ev
35;74399;ev
36;160642;ev
37;160558;ev
38;160601;ev
39;148134;ev
40;160653;ev
41;160637;ev
42;163321;ev
43;73808;ev
44;74356;ev
45;92776;ev
46;74385;ev
47;160631;ev
48;178978;car
49;160511;car
50;73559;car
51;74159;car
52;160640;car
53;160537;car
54;178929;car
55;160620;ev
56;178836;ev
57;178833;ev
58;178937;ev
59;178831;ev
60;178950;ev
61;178999;ev
62;178865;ev
63;178958;ev
64;178962;ev
65;178928;ev
66;178939;ev
67;196357;ev
68;178940;ev
69;92346;ev
70;181316;ev
71;178883;ev
72;178941;ev
73;146829;ev
74;178905;ev
75;178877;ev
76;186775;ev
77;178966;ev
78;74270;ev
79;178849;ev
80;178855;ev
81;178842;ev
82;178965;ev
83;178971;ev
84;67312;ev
85;178954;ev
86;178955;ev
87;178982;ev
88;179000;ev
89;195826;ev
90;178943;ev
91;181315;ev
92;178997;ev
93;193982;ev
94;178925;ev
95;152610;ev
96;178944;ev
97;141536;ev
98;122466;ev
99;178945;ev
100;178874;ev
101;178961;ev
102;178947;ev
103;178862;car
104;178934;ev
105;141555;ev
